IdentifiedObject.name,IdentifiedObject.mRID,WireInfo.radius,WireInfo.gmr,WireInfo.rDC20,WireInfo.rAC25,WireInfo.rAC50,WireInfo.rAC75,WireInfo.ratedCurrent,WireInfo.material,WireInfo.insulated,WireInfo.insulationMaterial,WireInfo.insulationThickness,WireInfo.coreRadius,WireInfo.strandCount,WireInfo.coreStrandCount
4/0ACSR,_b0688cf9-62a7-dc74-1aa0-d0c20de10dbf,0.0071501,0.001377696,0.000260827,0.000269685,0.00035105,0.000380577,365,acsr,FALSE,other,0,0,0,0
4/0AL,_ee191dc6-2117-868a-d231-aff07d38a754,0.0066294,0.00481584,0.000267717,0.00027395,0.000300853,0.000328084,380,acsr,FALSE,other,0,0,0,0
4/0CU,_bbf29201-0e1a-2d9c-3034-8a5d28939e75,0.0066294,0.004812792,0.000169634,0.000178334,0.00018579,0.000188276,480,acsr,FALSE,other,0,0,0,0
4/0QX,_dc7a85c7-9661-2e05-dcfc-2029dbbdb4d4,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
4/0QXUG,_85aa1124-a934-1235-98e3-0a40b72432dd,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
4/0TX,_022e0bd7-e2e6-7415-60ef-821340d1265d,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
4/0TXUG,_2ae2371d-e3a6-c42b-321b-9a766f08cdab,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
4A,_68d68050-c9a7-c293-d969-15f3aec85904,0.0029464,0.0021336,0.001358268,0.001387795,0.001525591,0.001660105,135,acsr,FALSE,other,0,0,0,0
4ACSR,_bb41ead4-21af-f400-cc73-cdfc7b2cf344,0.0032639,0.001377696,0.001309055,0.001335302,0.001519029,0.001692913,140,acsr,FALSE,other,0,0,0,0
4AL,_dc4efaf6-6f53-101d-ff99-d746175ec8df,0.0029464,0.0021336,0.001358268,0.001387795,0.001525591,0.001660105,135,acsr,FALSE,other,0,0,0,0
